timestamp,x,y,z
2024-08-22 20:10:31,0.18,-0.43,-0.43
2024-08-22 20:08:59,-0.06,-0.37,-0.18
2024-08-22 19:55:07,0.12,-0.37,-0.37
2024-08-22 20:05:38,0.18,-0.37,-0.37
2024-08-22 20:06:34,0.0,-0.37,-0.18
2024-08-22 19:54:28,0.18,-0.31,15.32
2024-08-22 19:53:57,0.18,-0.43,-0.37
2024-08-22 20:11:03,0.0,-0.31,-0.18
2024-08-22 20:08:36,0.12,-0.43,-0.31
2024-08-22 19:54:32,-0.06,-0.31,-0.18
2024-08-22 20:05:23,0.0,-0.31,-0.18
2024-08-22 20:02:56,0.0,-0.31,-0.18
2024-08-22 20:10:03,0.12,-0.43,-0.31
2024-08-22 19:58:26,0.0,-0.31,-0.18
2024-08-22 20:04:11,0.12,-0.37,-0.31
2024-08-22 20:04:03,-0.06,-0.37,-0.12
2024-08-22 20:00:02,-0.31,-0.31,0.06
2024-08-22 20:06:53,-0.18,-0.31,0.0
2024-08-22 20:10:47,0.06,-0.37,-0.24
2024-08-22 20:11:38,-0.06,-0.37,-0.12
2024-08-22 19:58:56,-0.06,-0.31,-0.18
2024-08-22 20:02:23,-0.12,-0.31,-0.06
2024-08-22 19:57:53,0.0,-0.31,-0.18
2024-08-22 19:53:05,0.0,-0.37,-0.18
2024-08-22 20:04:00,0.06,-0.37,-0.18
2024-08-22 19:58:22,-0.06,-0.31,-0.12
2024-08-22 20:02:58,0.24,-0.43,-0.37
2024-08-22 20:10:21,-0.18,-0.24,-0.06
2024-08-22 20:09:21,0.31,-0.49,-0.49
2024-08-22 20:05:31,-0.12,-0.31,-0.12
2024-08-22 19:55:27,0.06,-0.37,-0.24
2024-08-22 20:12:25,0.06,-0.37,-0.24
2024-08-22 19:56:09,0.12,-0.43,-0.37
2024-08-22 20:04:41,0.0,-0.37,-0.18
2024-08-22 20:03:04,0.0,-0.31,-0.12
2024-08-22 19:55:52,0.06,-0.24,-0.18
2024-08-22 20:05:58,0.0,-0.31,-0.24
2024-08-22 19:59:18,0.06,-0.31,-0.18
2024-08-22 20:00:49,-0.06,-0.31,-0.12
2024-08-22 20:09:28,-0.06,-0.37,-0.18
2024-08-22 20:03:20,0.0,-0.43,-0.18
2024-08-22 20:07:42,-0.18,-0.31,-0.06
2024-08-22 19:58:39,0.0,-0.31,-0.18
2024-08-22 20:11:27,-0.06,-0.31,-0.18
2024-08-22 19:55:09,0.12,-0.37,-0.31
2024-08-22 20:10:07,0.06,-0.37,-0.18
2024-08-22 19:54:38,-0.12,-0.37,-0.12
2024-08-22 19:57:43,0.0,-0.43,-0.24
2024-08-22 20:05:44,0.0,-0.37,-0.18
2024-08-22 19:57:56,0.06,-0.37,-0.24
2024-08-22 20:06:41,0.12,-0.37,-0.37
2024-08-22 19:59:56,0.06,-0.37,-0.24
2024-08-22 19:55:51,0.18,-0.37,-0.43
2024-08-22 19:57:47,0.24,-0.37,-0.43
2024-08-22 20:00:58,-0.18,-0.31,0.0
2024-08-22 20:05:59,-0.06,-0.31,-0.18
2024-08-22 20:09:04,0.18,-0.37,-0.37
2024-08-22 20:08:54,0.12,-0.31,-0.24
2024-08-22 19:53:10,-0.24,-0.43,-0.06
2024-08-22 20:06:18,0.06,-0.37,-0.24
2024-08-22 20:10:02,0.0,-0.37,-0.18
2024-08-22 19:59:15,-0.12,-0.31,-0.06
2024-08-22 20:03:38,0.06,-0.43,-0.24
2024-08-22 19:58:05,0.06,-0.31,-0.18
2024-08-22 19:53:56,-0.06,-0.31,-0.12
2024-08-22 20:01:47,0.06,-0.37,-0.24
2024-08-22 20:11:58,0.24,-0.61,-0.49
2024-08-22 20:11:47,-0.06,-0.37,-0.12
2024-08-22 20:06:29,0.12,-0.31,-0.31
2024-08-22 20:08:52,-0.06,-0.31,-0.12
2024-08-22 20:10:18,-0.06,-0.31,-0.12
2024-08-22 20:08:46,-0.06,-0.31,-0.12
2024-08-22 19:59:51,0.12,-0.43,-0.24
2024-08-22 19:59:07,0.12,-0.37,-0.31
2024-08-22 19:59:28,0.06,-0.37,-0.24
2024-08-22 19:57:31,0.06,-0.37,-0.24
2024-08-22 19:53:59,-0.18,-0.31,-0.06
2024-08-22 20:04:32,0.12,-0.31,-0.31
2024-08-22 20:12:09,0.0,-0.24,-0.18
2024-08-22 19:58:40,0.18,-0.37,-0.37
2024-08-22 20:06:13,0.0,-0.37,-0.24
2024-08-22 20:09:32,-0.12,-0.31,-0.12
2024-08-22 19:55:11,-0.06,-0.31,-0.12
2024-08-22 20:07:49,0.0,-0.37,-0.24
2024-08-22 20:08:01,0.0,-0.31,-0.18
2024-08-22 19:55:46,-0.43,-0.06,0.24
2024-08-22 20:07:14,0.12,-0.37,-0.31
2024-08-22 20:00:55,0.0,-0.31,-0.24
2024-08-22 20:03:07,-0.06,-0.31,-0.12
2024-08-22 19:54:24,0.18,-0.37,-0.31
2024-08-22 20:08:47,0.0,-0.31,-0.12
2024-08-22 20:11:05,0.0,-0.43,-0.18
2024-08-22 20:07:12,0.18,-0.43,-0.37
2024-08-22 20:08:31,-0.18,-0.31,0.0
2024-08-22 20:10:44,-0.06,-0.31,-0.12
2024-08-22 20:08:18,0.06,-0.31,-0.18
2024-08-22 19:55:02,-0.12,-0.31,-0.06
2024-08-22 20:07:53,-0.06,-0.24,-0.06
2024-08-22 20:09:45,0.06,-0.37,-0.24
2024-08-22 19:58:43,0.06,-0.37,-0.18
